success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant_id,condition_name,participant,rt,stimulus,response,phase,trial_number,species_key,human_n,species_n,optionA_label,optionB_label,swap,left_is,right_is,left_label,middle_label,right_label,choice_options,comparison_label,chosen_option,choice_kind,saved_human,saved_animal,human_chosen,task,question_order,file_name
NA,NA,NA,NA,NA,html-keyboard-response,13,2.0.0,140266,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,14,2.0.0,141598,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,1331,"On one boat there is <b>100 people</b> and the other boat there is <b>1 pig</b>.
                 Will <b>You</b> save...",2,main_choice,4,pig,100,1,100 people,1 pig,TRUE,B,A,1 pig,Can't decide,100 people,"[""1 pig"",""Can't decide"",""100 people""]",100 people vs 1 pig,100 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,15,2.0.0,142100,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,16,2.0.0,143498,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,1397,"On one boat there is <b>1 person</b> and the other boat there is <b>1 clam</b>.
                 Will <b>You</b> save...",0,main_choice,5,clam,1,1,1 person,1 clam,FALSE,A,B,1 person,Can't decide,1 clam,"[""1 person"",""Can't decide"",""1 clam""]",1 person vs 1 clam,1 person,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,17,2.0.0,144000,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,18,2.0.0,146082,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,2081,"On one boat there is <b>100 people</b> and the other boat there is <b>10 pigs</b>.
                 Will <b>You</b> save...",2,main_choice,6,pig,100,10,100 people,10 pigs,TRUE,B,A,10 pigs,Can't decide,100 people,"[""10 pigs"",""Can't decide"",""100 people""]",100 people vs 10 pigs,100 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,19,2.0.0,146584,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,20,2.0.0,147781,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,1197,"On one boat there is <b>100 people</b> and the other boat there is <b>10 bunnies</b>.
                 Will <b>You</b> save...",0,main_choice,7,bunny,100,10,100 people,10 bunnies,FALSE,A,B,100 people,Can't decide,10 bunnies,"[""100 people"",""Can't decide"",""10 bunnies""]",100 people vs 10 bunnies,100 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,21,2.0.0,148283,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,22,2.0.0,149249,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,964,"On one boat there is <b>100 people</b> and the other boat there is <b>10 dogs</b>.
                 Will <b>You</b> save...",0,main_choice,8,dog,100,10,100 people,10 dogs,FALSE,A,B,100 people,Can't decide,10 dogs,"[""100 people"",""Can't decide"",""10 dogs""]",100 people vs 10 dogs,100 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,23,2.0.0,149751,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,24,2.0.0,150666,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,914,"On one boat there is <b>10 people</b> and the other boat there is <b>100 clams</b>.
                 Will <b>You</b> save...",2,main_choice,9,clam,10,100,10 people,100 clams,TRUE,B,A,100 clams,Can't decide,10 people,"[""100 clams"",""Can't decide"",""10 people""]",10 people vs 100 clams,10 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,25,2.0.0,151168,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,26,2.0.0,152050,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,880,"On one boat there is <b>100 people</b> and the other boat there is <b>10 clams</b>.
                 Will <b>You</b> save...",2,main_choice,10,clam,100,10,100 people,10 clams,TRUE,B,A,10 clams,Can't decide,100 people,"[""10 clams"",""Can't decide"",""100 people""]",100 people vs 10 clams,100 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,27,2.0.0,152551,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,28,2.0.0,153900,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,1348,"On one boat there is <b>1 person</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...",0,main_choice,11,pigeon,1,1,1 person,1 pigeon,FALSE,A,B,1 person,Can't decide,1 pigeon,"[""1 person"",""Can't decide"",""1 pigeon""]",1 person vs 1 pigeon,1 person,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,29,2.0.0,154402,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,30,2.0.0,155283,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,880,"On one boat there is <b>1 person</b> and the other boat there is <b>1 pig</b>.
                 Will <b>You</b> save...",2,main_choice,12,pig,1,1,1 person,1 pig,TRUE,B,A,1 pig,Can't decide,1 person,"[""1 pig"",""Can't decide"",""1 person""]",1 person vs 1 pig,1 person,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,31,2.0.0,155785,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,32,2.0.0,156667,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,881,"On one boat there is <b>1 person</b> and the other boat there is <b>1 dog</b>.
                 Will <b>You</b> save...",2,main_choice,13,dog,1,1,1 person,1 dog,TRUE,B,A,1 dog,Can't decide,1 person,"[""1 dog"",""Can't decide"",""1 person""]",1 person vs 1 dog,1 person,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,33,2.0.0,157168,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,34,2.0.0,158467,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,1298,"On one boat there is <b>10 people</b> and the other boat there is <b>1 bunny</b>.
                 Will <b>You</b> save...",0,main_choice,14,bunny,10,1,10 people,1 bunny,FALSE,A,B,10 people,Can't decide,1 bunny,"[""10 people"",""Can't decide"",""1 bunny""]",10 people vs 1 bunny,10 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,35,2.0.0,158969,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,36,2.0.0,160000,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,1030,"On one boat there is <b>1 person</b> and the other boat there is <b>100 pigeons</b>.
                 Will <b>You</b> save...",0,main_choice,15,pigeon,1,100,1 person,100 pigeons,FALSE,A,B,1 person,Can't decide,100 pigeons,"[""1 person"",""Can't decide"",""100 pigeons""]",1 person vs 100 pigeons,1 person,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,37,2.0.0,160501,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,38,2.0.0,161418,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,916,"On one boat there is <b>1 person</b> and the other boat there is <b>100 clams</b>.
                 Will <b>You</b> save...",0,main_choice,16,clam,1,100,1 person,100 clams,FALSE,A,B,1 person,Can't decide,100 clams,"[""1 person"",""Can't decide"",""100 clams""]",1 person vs 100 clams,1 person,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,39,2.0.0,161920,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,40,2.0.0,163035,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,1113,"On one boat there is <b>1 person</b> and the other boat there is <b>10 pigeons</b>.
                 Will <b>You</b> save...",0,main_choice,17,pigeon,1,10,1 person,10 pigeons,FALSE,A,B,1 person,Can't decide,10 pigeons,"[""1 person"",""Can't decide"",""10 pigeons""]",1 person vs 10 pigeons,1 person,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,41,2.0.0,163536,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,42,2.0.0,164318,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,781,"On one boat there is <b>1 person</b> and the other boat there is <b>100 bunnies</b>.
                 Will <b>You</b> save...",0,main_choice,18,bunny,1,100,1 person,100 bunnies,FALSE,A,B,1 person,Can't decide,100 bunnies,"[""1 person"",""Can't decide"",""100 bunnies""]",1 person vs 100 bunnies,1 person,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,43,2.0.0,164819,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,44,2.0.0,180304,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,15484,"On one boat there is <b>10 people</b> and the other boat there is <b>1 pig</b>.
                 Will <b>You</b> save...",0,main_choice,19,pig,10,1,10 people,1 pig,FALSE,A,B,10 people,Can't decide,1 pig,"[""10 people"",""Can't decide"",""1 pig""]",10 people vs 1 pig,10 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,45,2.0.0,180806,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,46,2.0.0,181756,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,948,"On one boat there is <b>10 people</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...",2,main_choice,20,pigeon,10,1,10 people,1 pigeon,TRUE,B,A,1 pigeon,Can't decide,10 people,"[""1 pigeon"",""Can't decide"",""10 people""]",10 people vs 1 pigeon,10 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,47,2.0.0,182258,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,48,2.0.0,183406,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,1147,"On one boat there is <b>100 people</b> and the other boat there is <b>10 pigeons</b>.
                 Will <b>You</b> save...",0,main_choice,21,pigeon,100,10,100 people,10 pigeons,FALSE,A,B,100 people,Can't decide,10 pigeons,"[""100 people"",""Can't decide"",""10 pigeons""]",100 people vs 10 pigeons,100 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,49,2.0.0,183908,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,50,2.0.0,184506,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,597,"On one boat there is <b>100 people</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...",0,main_choice,22,pigeon,100,1,100 people,1 pigeon,FALSE,A,B,100 people,Can't decide,1 pigeon,"[""100 people"",""Can't decide"",""1 pigeon""]",100 people vs 1 pigeon,100 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-keyboard-response,51,2.0.0,185008,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,null,"<div style=""font-size:40px; opacity:0.6;"">+</div>",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iti,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
NA,NA,NA,NA,NA,html-button-response,52,2.0.0,186023,p1c8o1pd8dr,p1c8o1pd8dr,You,lion,1014,"On one boat there is <b>10 people</b> and the other boat there is <b>100 bunnies</b>.
                 Will <b>You</b> save...",2,main_choice,23,bunny,10,100,10 people,100 bunnies,TRUE,B,A,100 bunnies,Can't decide,10 people,"[""100 bunnies"",""Can't decide"",""10 people""]",10 people vs 100 bunnies,10 people,human,1,0,1,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_species_choices/analysis/../data/raw_data/p1c8o1pd8dr_1772490384489.csv
